Source,Target,Type,id,label,timeset,weight
144907535568790,972345416198277,Directed,0,,,1.0
144907535568790,1575347412785991,Directed,1,,,1.0
144907535568790,1603492026642561,Directed,2,,,1.0
144907535568790,1415508532040822,Directed,3,,,1.0
144907535568790,356761211074094,Directed,4,,,1.0
144907535568790,99655597678,Directed,5,,,1.0
144907535568790,6500552187,Directed,6,,,1.0
144907535568790,193594844090352,Directed,7,,,1.0
144907535568790,268895495697,Directed,8,,,1.0
144907535568790,128791113869297,Directed,9,,,1.0
144907535568790,175878362468302,Directed,10,,,1.0
144907535568790,230334826981973,Directed,11,,,1.0
144907535568790,108561005900633,Directed,12,,,1.0
144907535568790,212800032086632,Directed,13,,,1.0
144907535568790,203581446353141,Directed,14,,,1.0
144907535568790,168557679871352,Directed,15,,,1.0
144907535568790,150672761669948,Directed,16,,,1.0
144907535568790,160952800638676,Directed,17,,,1.0
144907535568790,205849996120308,Directed,18,,,1.0
144907535568790,123186947763033,Directed,19,,,1.0
144907535568790,85949884469,Directed,20,,,1.0
144907535568790,27349132105,Directed,21,,,1.0
144907535568790,45946768594,Directed,22,,,1.0
356761211074094,972345416198277,Directed,23,,,1.0
99655597678,85949884469,Directed,24,,,1.0
99655597678,144907535568790,Directed,25,,,1.0
193594844090352,144907535568790,Directed,26,,,1.0
193594844090352,212800032086632,Directed,27,,,1.0
193594844090352,99655597678,Directed,28,,,1.0
193594844090352,85949884469,Directed,29,,,1.0
268895495697,160952800638676,Directed,30,,,1.0
268895495697,123186947763033,Directed,31,,,1.0
268895495697,85949884469,Directed,32,,,1.0
268895495697,212800032086632,Directed,33,,,1.0
268895495697,144907535568790,Directed,34,,,1.0
128791113869297,160952800638676,Directed,35,,,1.0
128791113869297,85949884469,Directed,36,,,1.0
128791113869297,144907535568790,Directed,37,,,1.0
175878362468302,356761211074094,Directed,38,,,1.0
175878362468302,144907535568790,Directed,39,,,1.0
175878362468302,160952800638676,Directed,40,,,1.0
175878362468302,85949884469,Directed,41,,,1.0
230334826981973,144907535568790,Directed,42,,,1.0
230334826981973,85949884469,Directed,43,,,1.0
108561005900633,230334826981973,Directed,44,,,1.0
108561005900633,175878362468302,Directed,45,,,1.0
108561005900633,205849996120308,Directed,46,,,1.0
108561005900633,123186947763033,Directed,47,,,1.0
108561005900633,168557679871352,Directed,48,,,1.0
108561005900633,212800032086632,Directed,49,,,1.0
108561005900633,150672761669948,Directed,50,,,1.0
108561005900633,27349132105,Directed,51,,,1.0
108561005900633,203581446353141,Directed,52,,,1.0
108561005900633,45946768594,Directed,53,,,1.0
108561005900633,85949884469,Directed,54,,,1.0
108561005900633,160952800638676,Directed,55,,,1.0
108561005900633,144907535568790,Directed,56,,,1.0
212800032086632,168557679871352,Directed,57,,,1.0
212800032086632,123186947763033,Directed,58,,,1.0
212800032086632,144907535568790,Directed,59,,,1.0
212800032086632,160952800638676,Directed,60,,,1.0
212800032086632,85949884469,Directed,61,,,1.0
203581446353141,356761211074094,Directed,62,,,1.0
203581446353141,168557679871352,Directed,63,,,1.0
203581446353141,160952800638676,Directed,64,,,1.0
203581446353141,144907535568790,Directed,65,,,1.0
168557679871352,85949884469,Directed,66,,,1.0
168557679871352,144907535568790,Directed,67,,,1.0
150672761669948,85949884469,Directed,68,,,1.0
150672761669948,144907535568790,Directed,69,,,1.0
160952800638676,85949884469,Directed,70,,,1.0
160952800638676,144907535568790,Directed,71,,,1.0
205849996120308,123186947763033,Directed,72,,,1.0
123186947763033,144907535568790,Directed,73,,,1.0
123186947763033,205849996120308,Directed,74,,,1.0
123186947763033,160952800638676,Directed,75,,,1.0
123186947763033,85949884469,Directed,76,,,1.0
85949884469,1415508532040822,Directed,77,,,1.0
85949884469,193594844090352,Directed,78,,,1.0
85949884469,268895495697,Directed,79,,,1.0
85949884469,175878362468302,Directed,80,,,1.0
85949884469,230334826981973,Directed,81,,,1.0
85949884469,108561005900633,Directed,82,,,1.0
85949884469,168557679871352,Directed,83,,,1.0
85949884469,212800032086632,Directed,84,,,1.0
85949884469,203581446353141,Directed,85,,,1.0
85949884469,150672761669948,Directed,86,,,1.0
85949884469,160952800638676,Directed,87,,,1.0
85949884469,123186947763033,Directed,88,,,1.0
85949884469,205849996120308,Directed,89,,,1.0
85949884469,144907535568790,Directed,90,,,1.0
85949884469,27349132105,Directed,91,,,1.0
85949884469,45946768594,Directed,92,,,1.0
27349132105,144907535568790,Directed,93,,,1.0
27349132105,85949884469,Directed,94,,,1.0
