id,label,timeset,fan_count,category,username,users_can_post,link,post_activity,talking_about_count
152244168212417,Deafheaven,,146379,Musician/Band,deafheaven,yes,https://www.facebook.com/deafheaven/,0.01,369
11272286058,Those Darlins,,24293,Musician/Band,thosedarlins,yes,https://www.facebook.com/thosedarlins/,0.0,886
406239462776707,HAERTS,,39057,Musician/Band,haertsmusic,no,https://www.facebook.com/haertsmusic/,0.03,145
436190709724417,Vance Joy,,560569,Musician/Band,Vancejoy,yes,https://www.facebook.com/Vancejoy/,0.06,5221
212559749738,Cass McCombs,,36952,Musician/Band,CassMcCombs,yes,https://www.facebook.com/CassMcCombs/,0.01,75
191427634201036,Allah-Las,,203897,Musician/Band,allahlasmusic,no,https://www.facebook.com/allahlasmusic/,0.02,1938
47534185920,CLASSIXX,,74851,Musician/Band,CLASSIXXOfficial,no,https://www.facebook.com/CLASSIXXOfficial/,0.01,186
366557311865,La Santa Cecilia,,86047,Musician/Band,lasantaceciliamusic,yes,https://www.facebook.com/lasantaceciliamusic/,0.06,1905
10053453590,Jon Batiste,,48823,Musician/Band,JonBatisteMusic,yes,https://www.facebook.com/JonBatisteMusic/,0.03,175
24191165182,Big Sam's Funky Nation,,23985,Musician/Band,bigsamsfunkynation,yes,https://www.facebook.com/bigsamsfunkynation/,0.05,116
117289864962976,Caveman,,20305,Musician/Band,CavemanBand,yes,https://www.facebook.com/CavemanBand/,0.01,108
270068229779025,The Lone Bellow,,59390,Musician/Band,TheLoneBellow,yes,https://www.facebook.com/TheLoneBellow/,0.02,1145
279375632076168,Real Estate,,185620,Musician/Band,realestateband,yes,https://www.facebook.com/realestateband/,0.08,813
51612474577,The Black Lillies,,25182,Musician/Band,theblacklillies,yes,https://www.facebook.com/theblacklillies/,0.05,555
184981290268,Break Science,,70223,Musician/Band,breakscience,yes,https://www.facebook.com/breakscience/,0.02,82
454463311258020,BANKS,,466610,Musician/Band,hernameisbanks,yes,https://www.facebook.com/hernameisbanks/,0.04,11429
43673637921,King Khan And The Shrines,,60972,Musician/Band,kingkhanandtheshrines,yes,https://www.facebook.com/kingkhanandtheshrines/,0.02,2434
98787681145,Valerie June,,83080,Musician/Band,valeriejunemusic,yes,https://www.facebook.com/valeriejunemusic/,0.06,3672
12984017618,Thao & The Get Down Stay Down,,43346,Musician/Band,thaoandthegetdownstaydown,yes,https://www.facebook.com/thaoandthegetdownstaydown/,0.01,59
313764169132,Typhoon,,29949,Musician/Band,wearetyphoon,yes,https://www.facebook.com/wearetyphoon/,0.01,686
262102492125,Cloud Nothings,,110452,Musician/Band,cloudnothings,yes,https://www.facebook.com/cloudnothings/,0.01,204
226403060706801,Robert DeLong,,68020,Musician/Band,DeLongMusic,yes,https://www.facebook.com/DeLongMusic/,0.01,80
151140101614676,Jonathan Wilson,,29276,Musician/Band,songsofjw,yes,https://www.facebook.com/songsofjw/,0.01,66
12198369471,Okkervil River,,57934,Musician/Band,okkervilriver,no,https://www.facebook.com/okkervilriver/,0.01,61
496436785620,Vintage Trouble,,138748,Musician/Band,vintagetrouble,yes,https://www.facebook.com/vintagetrouble/,0.05,1159
112044832224062,Ty Segall,,59259,Musician/Band,,yes,https://www.facebook.com/Ty-Segall-112044832224062/,0.0,63
187909150343,The Bouncing Souls,,186840,Musician/Band,bouncingsouls,yes,https://www.facebook.com/bouncingsouls/,0.04,1438
355507471186888,OmarSouleyman2,,64316,Musician/Band,OmarSouleyman2,no,https://www.facebook.com/OmarSouleyman2/,0.0,436
181642381882640,A Tribe Called Red,,164613,Musician/Band,atribecalledred,yes,https://www.facebook.com/atribecalledred/,0.06,857
156873374377231,Rudimental,,901907,Musician/Band,Rudimental,yes,https://www.facebook.com/Rudimental/,0.02,4090
64344580964,First Aid Kit (SE) OFFICIAL,,344886,Musician/Band,firstaidkitofficial,yes,https://www.facebook.com/firstaidkitofficial/,0.01,826
237731422921817,MS MR,,278301,Musician/Band,msmrsounds,yes,https://www.facebook.com/msmrsounds/,0.0,209
95711459797,Blackberry Smoke,,287460,Musician/Band,BlackberrySmoke,yes,https://www.facebook.com/BlackberrySmoke/,0.31,10613
188345707867938,Seun Anikulapo Kuti,,113717,Musician/Band,seunkutiofficial,yes,https://www.facebook.com/seunkutiofficial/,0.01,687
107537145881,ZZ Ward,,217727,Musician/Band,ZZWard,yes,https://www.facebook.com/ZZWard/,0.05,1023
395956287126301,Goat,,74252,Nonprofit Organization,goatsweden,yes,https://www.facebook.com/goatsweden/,0.01,116
