Source,Target,Type,id,label,timeset,weight
11539801009,115643195151198,Directed,0,,,1.0
11539801009,231254366893637,Directed,1,,,1.0
11539801009,125804090932273,Directed,2,,,1.0
11539801009,514992135234266,Directed,3,,,1.0
11539801009,16064464852,Directed,4,,,1.0
11539801009,7891635905,Directed,5,,,1.0
11539801009,59152617887,Directed,6,,,1.0
11539801009,36939606277,Directed,7,,,1.0
115643195151198,531485530266234,Directed,8,,,1.0
115643195151198,273567224143,Directed,9,,,1.0
115643195151198,1703362789946740,Directed,10,,,1.0
115643195151198,231254366893637,Directed,11,,,1.0
115643195151198,108560099169100,Directed,12,,,1.0
115643195151198,101632530172171,Directed,13,,,1.0
115643195151198,115785971805139,Directed,14,,,1.0
115643195151198,314521142075192,Directed,15,,,1.0
115643195151198,129976770381499,Directed,16,,,1.0
115643195151198,601421899978784,Directed,17,,,1.0
115643195151198,302683945427,Directed,18,,,1.0
115643195151198,13472576978,Directed,19,,,1.0
115643195151198,167510274685,Directed,20,,,1.0
115643195151198,114458245398949,Directed,21,,,1.0
115643195151198,229125271877,Directed,22,,,1.0
115643195151198,108274769342760,Directed,23,,,1.0
115643195151198,86134482733,Directed,24,,,1.0
115643195151198,42469203122,Directed,25,,,1.0
115643195151198,211229335586373,Directed,26,,,1.0
115643195151198,196382043717959,Directed,27,,,1.0
115643195151198,13852349119,Directed,28,,,1.0
115643195151198,94832366325,Directed,29,,,1.0
115643195151198,148503411830756,Directed,30,,,1.0
115643195151198,5975979659,Directed,31,,,1.0
115643195151198,105952652768902,Directed,32,,,1.0
115643195151198,103136203060154,Directed,33,,,1.0
115643195151198,154729654597319,Directed,34,,,1.0
115643195151198,37886159739,Directed,35,,,1.0
115643195151198,145347098828233,Directed,36,,,1.0
115643195151198,10513336322,Directed,37,,,1.0
115643195151198,329518529765,Directed,38,,,1.0
115643195151198,191526477530832,Directed,39,,,1.0
115643195151198,58442502641,Directed,40,,,1.0
115643195151198,288903473155,Directed,41,,,1.0
115643195151198,76714598562,Directed,42,,,1.0
115643195151198,59152617887,Directed,43,,,1.0
115643195151198,11539801009,Directed,44,,,1.0
115643195151198,47419061096,Directed,45,,,1.0
115643195151198,55045311847,Directed,46,,,1.0
231254366893637,94832366325,Directed,47,,,1.0
231254366893637,104156650170,Directed,48,,,1.0
231254366893637,191526477530832,Directed,49,,,1.0
231254366893637,115643195151198,Directed,50,,,1.0
231254366893637,59152617887,Directed,51,,,1.0
125804090932273,334533196573280,Directed,52,,,1.0
125804090932273,10644328068,Directed,53,,,1.0
514992135234266,231254366893637,Directed,54,,,1.0
514992135234266,101632530172171,Directed,55,,,1.0
514992135234266,594861797262966,Directed,56,,,1.0
514992135234266,161439797230885,Directed,57,,,1.0
514992135234266,107625632663475,Directed,58,,,1.0
514992135234266,6226458530,Directed,59,,,1.0
514992135234266,146487481057,Directed,60,,,1.0
514992135234266,5361113535,Directed,61,,,1.0
514992135234266,7805489173,Directed,62,,,1.0
514992135234266,39685849097,Directed,63,,,1.0
514992135234266,132864449162,Directed,64,,,1.0
514992135234266,11539801009,Directed,65,,,1.0
16064464852,527292140621813,Directed,66,,,1.0
16064464852,23036132656,Directed,67,,,1.0
16064464852,27589213702,Directed,68,,,1.0
16064464852,119955887241,Directed,69,,,1.0
16064464852,200859576615757,Directed,70,,,1.0
16064464852,352059788288131,Directed,71,,,1.0
16064464852,10582587785,Directed,72,,,1.0
16064464852,147273911982408,Directed,73,,,1.0
16064464852,346476725378539,Directed,74,,,1.0
16064464852,7634692510,Directed,75,,,1.0
16064464852,86649416274,Directed,76,,,1.0
16064464852,561936150483218,Directed,77,,,1.0
16064464852,193924110634262,Directed,78,,,1.0
16064464852,145496438806632,Directed,79,,,1.0
16064464852,11360325957,Directed,80,,,1.0
16064464852,57162785440,Directed,81,,,1.0
16064464852,112373672107403,Directed,82,,,1.0
16064464852,101924489860515,Directed,83,,,1.0
16064464852,1549980151882959,Directed,84,,,1.0
16064464852,150883191620541,Directed,85,,,1.0
16064464852,183053338410715,Directed,86,,,1.0
16064464852,240632815967767,Directed,87,,,1.0
16064464852,279765575487556,Directed,88,,,1.0
16064464852,6220048374,Directed,89,,,1.0
16064464852,91698750625,Directed,90,,,1.0
16064464852,336927486404427,Directed,91,,,1.0
16064464852,41118841152,Directed,92,,,1.0
16064464852,198571464136,Directed,93,,,1.0
16064464852,132352046794618,Directed,94,,,1.0
16064464852,106104530803,Directed,95,,,1.0
16064464852,9189674485,Directed,96,,,1.0
16064464852,899132313553217,Directed,97,,,1.0
16064464852,103754739663042,Directed,98,,,1.0
16064464852,49522378033,Directed,99,,,1.0
16064464852,86185782848,Directed,100,,,1.0
16064464852,6041374919,Directed,101,,,1.0
16064464852,6296709642,Directed,102,,,1.0
16064464852,298451860222195,Directed,103,,,1.0
16064464852,11747586444,Directed,104,,,1.0
16064464852,5204238009,Directed,105,,,1.0
16064464852,215945518434361,Directed,106,,,1.0
16064464852,26233759320,Directed,107,,,1.0
16064464852,35718435694,Directed,108,,,1.0
16064464852,8863423413,Directed,109,,,1.0
16064464852,137753499590300,Directed,110,,,1.0
16064464852,125113270838601,Directed,111,,,1.0
16064464852,93576278380,Directed,112,,,1.0
16064464852,198795176799652,Directed,113,,,1.0
16064464852,132901563453480,Directed,114,,,1.0
16064464852,64812389985,Directed,115,,,1.0
16064464852,184572121564825,Directed,116,,,1.0
16064464852,336551282830,Directed,117,,,1.0
16064464852,86418982488,Directed,118,,,1.0
16064464852,7284978791,Directed,119,,,1.0
16064464852,126807853995882,Directed,120,,,1.0
16064464852,14358700961,Directed,121,,,1.0
16064464852,111272362222257,Directed,122,,,1.0
16064464852,22378233632,Directed,123,,,1.0
16064464852,6500552187,Directed,124,,,1.0
16064464852,79274587995,Directed,125,,,1.0
16064464852,228400173842065,Directed,126,,,1.0
16064464852,15694020380,Directed,127,,,1.0
16064464852,16868080428,Directed,128,,,1.0
16064464852,7204523707,Directed,129,,,1.0
16064464852,6871006677,Directed,130,,,1.0
16064464852,100484820802,Directed,131,,,1.0
16064464852,108926911469,Directed,132,,,1.0
